Reporting period,ORGANIZATION,DONOR,CLUSTER,ACTIVITY DESCRIPTION,IMPLEMENTING PARTNER,REGION,DISTRICT                           ,SPECIFIC LOCATION ,RURAL/URBAN         ,STATUS             ,DURATION,START DATE (DD/MM/YY),END DATE (DD/MM/YY),Y_COORD,X_COORD
Quarter III,ACTED,SHF,CCCM,"Full CCCM response including: committee creation/support, site monitoring, site coordination, care and maintenance, capacity building, and CwC work",,Bay,Baidoa,Baidoa IDPs,Urban,Completed,9 months,17/06/2018,03/09/2019,,
Quarter III,ACTED,SHF,CCCM,"CCCM response comprised of coordination, capacity building, monitoring, information management, CwC and community engagement, care and maintenance ",,Sanaag ,Ceel Afweyn,"Baidoa IDPs Karasharka, Fadhigaab, El-Midgaan in El-Afweyne ",Urban and Rural,Ongoing ,12 months ,05/05/2019,05/04/2020,,
Quarter III,ACTED,OFDA,CCCM,"CCCM respnse comprised of coordination, monitoring, creation of CMCs, training of CMC, information management at site level, site maintenance. Shetler component (transitional shelters plus ESK) and Protection component ",,Bay,Baidoa,Baidoa IDPs,Urban,Completed,12 months ,09/01/2018,31/08/2019,,
Quarter III,ACTED,OFDA,CCCM,"CCCM respnse comprised of coordination, monitoring, creation of CMCs, training of CMC, information management at site level, site maintenance. Shetler component (transitional shelters plus ESK) and Protection component ",,Bay,Baidoa,Baidoa IDPs,Urban,Ongoing ,12 months ,09/01/2019,31/08/2020,,
Quarter III,ACTED,SHF,CCCM,"Full CCCM response including: committee creation/support, site monitoring, site coordination, care and maintenance, capacity building, and CwC work",,Bay,Baidoa,Baidoa IDPs,Urban,Ongoing ,12 months ,31/12/2018,30/12/2019,,
Quarter III,ACTED,ECHO,CCCM,"Integrated CCCM/WASH/SNFI response focusing on core CCCM principles such as monitoring, coordination, community participation, CwC, site maintenance, information management and capacity building ",SADO,Lower Juba,Kismayo,Galbeedt Area ,Urban,Completed,12 months,03/04/2018,28/02/2019,,
Quarter III,ACTED,ECHO,CCCM,"Integrated CCCM/WASH/SNFI response focusing on core CCCM principles such as monitoring, coordination, community participation, CwC, site maintenance, information management and capacity building ",SADO,Lower Juba,Kismayo,Galbeedt Area ,Urban,Ongoing ,12 months,01/01/2019,31/12/2019,,
Quarter III,ACTED,OFDA,CCCM,"CCCM respnse comprised of coordination, monitoring, creation of CMCs, training of CMC, information management at site level, site maintenance. Protection Component ",SADO,Lower Juba,Kismayo,Galbeedt Area ,Urban,Completed,12 months ,09/01/2018,31/08/2019,,
Quarter III,ACTED,OFDA,CCCM,"CCCM respnse comprised of coordination, monitoring, creation of CMCs, training of CMC, information management at site level, site maintenance. Protection Component ",SADO,Lower Juba,Kismayo,Galbeedt Area ,Urban,Ongoing ,12 months ,09/01/2019,31/08/2020,,
Quarter III,ACTED,ECHO,CCCM,"CCCM response comprised of coordination, capacity building, monitoring, information management, CwC and community engagement",,Nugaal,Garowe,Garowe Urban,Urban,Completed,12 months,03/04/2018,28/02/2019,,
Quarter III,ACTED,SHF,CCCM,"Full CCCM response including: committee creation/support, site monitoring, site coordination, care and maintenance, capacity building, and CwC work",,Nugaal,Garowe,Garowe and Burtinle IDP Sites,Urban,Completed,12 months,03/06/2018,29/04/2019,,
Quarter III,ACTED,SHF,CCCM,Integrated CCCM/WASH/SNFI,,Sanaag,Laasqoray,Scattered ,Rural/Peri Urban ,Completed,12 months ,15/09/2018,14/09/2019,,
Quarter III,ACTED,OFDA,CCCM,"CCCM respnse comprised of coordination, monitoring, creation of CMCs, training of CMC, information management at site level, site maintenance. Protection Component ",,Sanaag,Laasqoray,Scattered ,Rural/Peri Urban ,Ongoing ,12 months ,09/01/2019,31/08/2020,,
Quarter III,ACTED,DAP,CCCM,Integrated CCCM/WASH,,Sanaag,Laasqoray,Scattered ,Rural/Peri Urban ,Ongoing ,12 months ,12/01/2018,30/11/2019,,
Quarter III,ACTED,SHF,CCCM,CCCM Stand alone ,,Woqooyi Galbeed,Hargeysa,Hargheisa ,Urban ,Ongoing ,12 months ,20/12/2018,19/12/2019,,
Quarter III,ACTED,ECHO,CCCM,"Integrated CCCM/WASH/SNFI response focusing on core CCCM principles such as monitoring, coordination, community participation, CwC, site maintenance, information management and capacity building ",,Woqooyi Galbeed,Hargeysa,Hargheisa ,Urban,Ongoing ,12 months,01/01/2019,31/12/2019,,
Quarter III,AVORD,SHF,CCCM,Establish governance structures in sites where such bodies don’t exist.,AVORD,Banadir ,Banadir,Daynile and Kaxda Districts,Urban,Completed,12 months,13/05/2019,05/12/2019,,
Quarter III,AVORD,SHF,CCCM,Maintain area-level CCCM coordination structures with relevant partners and local authorities,AVORD,Banadir ,Banadir,Daynile and Kaxda Districts,Urban,Ongoing ,12 months,13/05/2019,05/12/2019,,
Quarter III,AVORD,SHF,CCCM,Construct 40 multi-purpose spaces with seating options in target IDP settlements in Benadir,AVORD,Banadir ,Banadir,Daynile and Kaxda Districts,Urban,Completed,12 months,13/05/2019,05/12/2019,,
Quarter III,AVORD,SHF,CCCM,Provide disaster risk reduction and management tools to 40 IDP sites in Benadir,AVORD,Banadir ,Banadir,Daynile and Kaxda Districts,Urban,Ongoing ,12 months,13/05/2019,05/12/2019,,
Quarter III,AVORD,SHF,CCCM,Upgrade 240 latrines and 40 gates in Benadir IDP sites,AVORD,Banadir ,Banadir,Daynile and Kaxda Districts,Urban,Ongoing ,12 months,13/05/2019,05/12/2019,,
Quarter III,CRS,OFDA,CCCM,"CCCM response including capacity building of camp Management committees, site monitoring, committees selections, construction of coomunity centers/social halls, Installation of Signs boards,  Site Planning, Monthly Stakeholders Meeting, Service Mapping ",SSWC,Banadir ,Dayniile,"Alafsuge, Allaamin, Aminsabarin, Banaaney, Caawinta Walaalaha, Essow, Gacan Barako, Geedlay, Hareriley, Keraay, Kheyrqabe, Luuqjellow, Marwo, Nasib, Nasrudiin, Quracweyn, Rama, Safarnooley, Sagal Saccid, Samawade, Tabaruuc, Tilkal Ayam, Togdheer, Xidig",Urban,Completed,12 Months ,01/10/2018,31/08/2019,,
